Animal,TIME,LD-500,LD-900,LD-1300,LD-1700,LD-2100,M-500,M-900,M-1300,M-1700,M-2100
1,0,14.94,1.01,18.03,6.5,6.26,8.98,0.02,4.21,9.31,7.01
1,15,35.51,46.35,43.08,39.79,22.4,31.18,27.29,11.93,32.69,21.81
1,30,42.38,34.14,14.63,50.57,55.73,45.17,41.16,43.63,41.59,35.31
2,0,11.91,0.22,5.67,0.18,5.48,10.07,11.78,12.42,8.69,11.32
2,15,14.11,31.77,18.45,16.02,7.94,32.32,10.87,61.99,13.1,18.93
2,30,22.32,21.69,29.08,23.93,13.37,21.98,14.42,21.48,21.57,11.37
3,0,4.2,15.26,5.54,4.48,0.32,5.46,3.9,17.61,9.22,10.49
3,15,23.66,49.94,24.23,23.72,14,26.72,23.15,26.47,9.68,6.7
3,30,28.71,52.68,32.72,31.62,32,30.87,15.08,26.6,25.07,18.55
4,0,3.12,2.24,14.77,3.52,1.1,9.44,5.04,9.11,6.36,4.57
4,15,30.51,24.5,25.02,36.55,34.88,36.74,16.87,38.3,17.61,22.44
4,30,29.71,22.92,19.86,42.75,39.18,37.48,28.34,30.5,53.27,66.26
5,0,1.04,1.35,0.49,0.32,0.02,,,,,
5,15,23.18,42.06,34.97,25.85,28.17,,,,,
5,30,20.02,77.22,28.9,34.78,36.42,,,,,
6,0,3.18,0.84,0.79,2.31,6,13.96,8.79,5.21,4.18,10.76
6,15,20.32,15.2,37.45,30.89,20.9,17,14.15,14.77,18.56,13.67
6,30,,28.9,15.71,21.72,24.65,12.44,26.86,37.38,28.78,20.84
7,0,3.33,13.03,12.58,3.87,6.87,2.34,0.89,3.86,5.44,6.66
7,15,34.34,18.8,25.69,20.29,51.51,4.82,15.65,17.35,27.07,13.69
7,30,37.83,37.57,30.02,27.86,35.01,49.77,29.78,3.4,22.38,24.59
8,0,4.62,18.69,3.22,13.4,11.33,11.25,3.62,19.71,4.2,3.75
8,15,26.68,35.55,28.66,28.28,54.43,31.26,36.93,19.72,14.47,36
8,30,45.99,53.6,42.83,39.66,43.12,34.41,23.65,41.94,30.63,31.67
9,0,3.01,1.26,1.04,8.48,1.6,2.17,1.7,16.06,9.39,10.39
9,15,29.57,25.24,37.74,40.76,27.55,42.88,28.12,20.58,13.39,23.65
9,30,79.66,31.96,24.42,65.27,60.89,47.37,31.6,39.31,29.62,42.96
10,0,2.88,5.66,3.39,0.53,3.94,10.87,2.88,11.19,1.42,2.63
10,15,33.24,39.29,36.78,29.66,29.64,55.94,35.23,18.95,12.31,33.86
10,30,56.15,38.5,24.24,39.49,35.32,29.67,45.46,64.78,25.85,32.42
11,0,13.02,5.48,1.42,16.99,5.33,9.29,2.2,4.95,2.84,7.16
11,15,14.79,16.29,16.43,5.57,20.37,30.01,8.52,19.35,5.39,7.69
11,30,9.78,22.98,7.89,15.11,22.52,34.83,42.35,35.39,23.93,28.32
12,0,14.52,7.45,6.94,4.37,11.9,6.33,22.73,11.48,3.36,5.65
12,15,36.46,24.91,28.04,27.19,13.58,15.18,42.33,14.48,7.62,11.37
12,30,52.37,34.61,35.87,35.29,34.77,19.8,38.75,26.73,34.91,28.43